dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
FacesUCR,0.96439024,0.97853659,0.95902439,0.97902439,0.97463415,0.97414634,0.97414634,0.97463415,0.97609756,0.97317073,0.97658537,0.97365854,0.97804878,0.98000000,0.97560976,0.97024390,0.97024390,0.96829268,0.98000000,0.97268293,0.97658537,0.97707317,0.98292683,0.97317073,0.97804878,0.97317073,0.98243902,0.97560976,0.97365854,0.97756098,0.95902439,0.98292683,0.97478049,0.97512195,0.00486690,0.99854539,0.96533183,1.41507290,37.01963972
FiftyWords,0.86373626,0.83296703,0.85494505,0.86813187,0.87032967,0.86593407,0.86813187,0.84835165,0.87692308,0.85934066,0.86593407,0.85714286,0.86813187,0.86813187,0.87032967,0.88351648,0.85934066,0.88791209,0.85494505,0.87252747,0.88351648,0.87032967,0.85494505,0.86593407,0.88131868,0.87692308,0.85054945,0.88791209,0.86373626,0.87032967,0.83296703,0.88791209,0.86673993,0.86813187,0.01204432,0.98852820,0.79806391,2.79878149,27.85693298
Fish,0.98857143,0.99428571,0.97714286,0.96571429,0.98285714,0.98857143,0.98285714,0.98857143,1.00000000,0.99428571,0.98857143,0.99428571,0.97714286,0.98285714,1.00000000,0.97142857,0.97142857,0.98857143,0.97142857,0.98285714,0.98857143,0.97714286,0.98857143,0.99428571,0.97142857,0.96571429,0.98857143,0.98285714,0.98285714,0.98285714,0.96571429,1.00000000,0.98380952,0.98285714,0.00922385,0.99774720,0.98377618,0.80686928,36.37885685
FordA,0.96363636,0.96666667,0.96439394,0.94696970,0.96136364,0.96212121,0.96742424,0.95681818,0.96363636,0.96136364,0.96818182,0.96590909,0.96590909,0.96666667,0.96212121,0.94924242,0.95681818,0.96818182,0.96060606,0.96363636,0.96136364,0.96287879,0.96363636,0.95833333,0.96590909,0.96060606,0.96818182,0.96363636,0.96515152,0.96287879,0.94696970,0.96818182,0.96247475,0.96363636,0.00489300,0.99350652,0.96153796,0.38135160,59.49370631
FordB,0.83086420,0.92839506,0.94197531,0.93086420,0.94444444,0.94197531,0.95555556,0.94567901,0.94814815,0.93950617,0.94074074,0.93086420,0.93703704,0.95555556,0.92839506,0.92962963,0.93827160,0.93950617,0.93580247,0.95432099,0.94444444,0.92592593,0.94074074,0.93086420,0.93827160,0.95061728,0.95555556,0.93333333,0.95185185,0.94691358,0.83086420,0.95555556,0.93720165,0.94012346,0.02156960,0.98195220,0.93633528,0.40496431,56.58446092
FreezerRegularTrain,0.99929825,0.99929825,0.99719298,0.99719298,0.99719298,0.99614035,0.99649123,0.99754386,0.99894737,0.99894737,0.99719298,0.99754386,0.99859649,0.99543860,0.99614035,0.99684211,0.99929825,0.99649123,0.99859649,0.99263158,0.99719298,0.99754386,0.99719298,0.99894737,0.99964912,0.99684211,0.99894737,0.99894737,0.99859649,0.99684211,0.99263158,0.99964912,0.99759064,0.99736842,0.00145726,0.99888446,0.99758327,0.34463906,29.69141771
FreezerSmallTrain,0.97824561,0.98701754,0.97333333,0.99368421,0.91052632,0.91789474,0.94456140,0.97403509,0.98350877,0.99228070,0.99438596,0.99298246,0.99087719,0.99192982,0.95122807,0.99122807,0.99684211,0.92842105,0.98526316,0.99228070,0.94035088,0.98175439,0.98807018,0.99192982,0.90877193,0.98596491,0.98877193,0.98912281,0.96561404,0.99578947,0.90877193,0.99684211,0.97355556,0.98649123,0.02670642,0.99575646,0.97302160,0.41259689,21.32119405
GunPoint,1.00000000,1.00000000,0.99333333,1.00000000,1.00000000,1.00000000,1.00000000,0.97333333,1.00000000,1.00000000,1.00000000,1.00000000,0.99333333,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99333333,1.00000000,0.99333333,0.99333333,0.99333333,1.00000000,1.00000000,0.97333333,1.00000000,0.99777778,1.00000000,0.00525874,0.99994667,0.99779238,0.35534090,17.06740263
GunPointAgeSpan,1.00000000,0.98417722,0.99683544,1.00000000,0.99683544,0.99683544,0.99683544,1.00000000,0.99683544,1.00000000,0.98417722,0.99683544,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99683544,1.00000000,0.98417722,0.98101266,1.00000000,0.99367089,0.99683544,1.00000000,0.99683544,0.99683544,1.00000000,1.00000000,0.99683544,0.98101266,1.00000000,0.99641350,0.99683544,0.00540348,0.99994525,0.99634173,0.34086115,16.08656557
GunPointMaleVersusFemale,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.33134778,20.97432208
