dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
FreezerRegularTrain,0.99964912,0.99964912,0.99719298,0.99754386,0.99754386,0.99614035,0.99508772,0.99508772,0.99894737,0.99929825,0.99719298,0.99719298,0.99859649,0.99543860,0.99543860,0.99543860,0.99964912,0.99614035,0.99929825,0.99157895,0.99754386,0.99789474,0.99929825,0.99929825,0.99964912,0.99754386,0.99894737,0.99929825,0.99824561,0.99684211,0.99157895,0.99964912,0.99755556,0.99754386,0.00186655,0.99888151,0.99754638,0.34433554,12.07332142
FreezerSmallTrain,0.97719298,0.99087719,0.98070175,0.99368421,0.91122807,0.91929825,0.94947368,0.97894737,0.98105263,0.99473684,0.99473684,0.99298246,0.99052632,0.99192982,0.95087719,0.99122807,0.99894737,0.93052632,0.98526316,0.99228070,0.94526316,0.98631579,0.98736842,0.99122807,0.92000000,0.99298246,0.99298246,0.98912281,0.96350877,0.99614035,0.91122807,0.99894737,0.97538012,0.98824561,0.02570154,0.99598574,0.97494447,0.41083523,10.34586403
GunPoint,1.00000000,0.99333333,0.99333333,1.00000000,1.00000000,1.00000000,1.00000000,0.97333333,1.00000000,1.00000000,1.00000000,1.00000000,0.99333333,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99333333,1.00000000,0.97333333,1.00000000,0.99822222,1.00000000,0.00514482,0.99996444,0.99823684,0.35412036,5.72764674
GunPointAgeSpan,1.00000000,0.99367089,0.99683544,1.00000000,0.99683544,0.99683544,0.99683544,1.00000000,0.99367089,1.00000000,0.98734177,1.00000000,1.00000000,1.00000000,0.99683544,1.00000000,1.00000000,0.99367089,1.00000000,0.99050633,0.98417722,0.99683544,0.99367089,0.99683544,0.99683544,1.00000000,0.99367089,1.00000000,1.00000000,0.99683544,0.98417722,1.00000000,0.99672996,0.99683544,0.00395956,0.99997062,0.99668546,0.34080264,7.92266023
GunPointMaleVersusFemale,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.33068426,8.45081042
GunPointOldVersusYoung,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.31720114,9.37301055
Ham,0.73333333,0.89523810,0.83809524,0.86666667,0.86666667,0.85714286,0.84761905,0.88571429,0.81904762,0.86666667,0.82857143,0.85714286,0.87619048,0.87619048,0.86666667,0.84761905,0.81904762,0.86666667,0.84761905,0.91428571,0.87619048,0.89523810,0.86666667,0.87619048,0.79047619,0.85714286,0.81904762,0.90476190,0.86666667,0.90476190,0.73333333,0.91428571,0.85777778,0.86666667,0.03613474,0.93134834,0.86282169,0.48960856,5.33670871
HandOutlines,0.95405405,0.96756757,0.95945946,0.94054054,0.94594595,0.94864865,0.94864865,0.94594595,0.93783784,0.95135135,0.95135135,0.94864865,0.95135135,0.95135135,0.95405405,0.95675676,0.95405405,0.96216216,0.95675676,0.96756757,0.94324324,0.97297297,0.93783784,0.94324324,0.93243243,0.95405405,0.96216216,0.95135135,0.95405405,0.96756757,0.93243243,0.97297297,0.95243243,0.95135135,0.00942981,0.98139296,0.96356992,0.39017512,26.66744246
Haptics,0.54545455,0.55194805,0.59090909,0.53896104,0.57467532,0.60714286,0.55844156,0.56818182,0.56818182,0.58116883,0.54870130,0.58441558,0.57467532,0.55844156,0.56493506,0.56168831,0.58116883,0.58441558,0.55844156,0.59090909,0.60389610,0.56493506,0.57142857,0.58116883,0.58116883,0.62337662,0.57142857,0.56168831,0.60714286,0.55194805,0.53896104,0.62337662,0.57370130,0.57142857,0.01953726,0.82744797,0.56153215,1.24306843,7.10244277
Herring,0.73437500,0.68750000,0.67187500,0.62500000,0.64062500,0.71875000,0.53125000,0.62500000,0.62500000,0.64062500,0.62500000,0.53125000,0.59375000,0.62500000,0.68750000,0.59375000,0.65625000,0.62500000,0.60937500,0.73437500,0.54687500,0.64062500,0.64062500,0.62500000,0.60937500,0.68750000,0.64062500,0.68750000,0.56250000,0.65625000,0.53125000,0.73437500,0.63593750,0.63281250,0.05168861,0.67561448,0.51565804,0.63613110,4.87348554
